Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782007268,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782007269,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782007270,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782007271,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782007272,8,,Aggregated,0.000000,0.000000,21,21,21,21,21,21,21,21,21,21,21,1,0,21.2848000228405,21.2848000228405,21.2848000228405,21.2848000228405,2.0
1782007273,10,,Aggregated,0.000000,0.000000,26,26,310,310,310,310,310,310,310,310,310,3,0,26,120.59059995226562,21.2848000228405,314.16879990138113,1173.6666666666667
1782007274,10,,Aggregated,0.000000,0.000000,310,310,1300,1300,1300,1300,1300,1300,1300,1300,1300,4,0,26,422.1768749412149,21.2848000228405,1326.9356999080628,2884.75
1782007275,10,,Aggregated,0.400000,0.000000,730,1300,1500,1500,3100,3100,3100,3100,3100,3100,3100,8,0,310.0,883.0967749818228,21.2848000228405,3083.963899873197,20121.125
1782007276,10,,Aggregated,0.666667,0.000000,310,730,1300,1500,2600,3100,3100,3100,3100,3100,3100,14,0,310.0,763.1569642773164,21.2848000228405,3083.963899873197,23674.928571428572
1782007277,10,,Aggregated,0.714286,0.000000,310,730,1300,1300,1800,2600,3100,3100,3100,3100,3100,23,0,310.0,698.016000000517,21.2848000228405,3083.963899873197,22640.695652173912
1782007278,10,,Aggregated,1.125000,0.000000,200,310,730,1100,1500,2600,3100,3100,3100,3100,3100,32,0,130.0,525.2255281302496,21.2848000228405,3083.963899873197,20334.40625
1782007279,10,,Aggregated,1.777778,0.000000,230,330,710,1100,1500,2600,3100,3100,3100,3100,3100,40,0,200.0,509.34589750831947,21.2848000228405,3083.963899873197,21192.025
1782007280,10,,Aggregated,2.400000,0.000000,130,310,480,710,1300,1800,3100,3100,3100,3100,3100,48,0,110.0,433.17528957656276,21.2848000228405,3083.963899873197,19677.645833333332
1782007281,10,,Aggregated,3.300000,0.000000,130,290,390,510,1300,1800,2600,3100,3100,3100,3100,57,0,130.0,398.48957017162127,21.2848000228405,3083.963899873197,17243.456140350878
1782007282,10,,Aggregated,4.100000,0.000000,99,230,330,510,1100,1500,2600,3100,3100,3100,3100,65,0,99,365.32711999920696,21.2848000228405,3083.963899873197,18081.03076923077
1782007283,10,,Aggregated,4.900000,0.000000,99,250,330,480,1100,1500,2600,3100,3100,3100,3100,70,0,98,347.74134714555527,21.2848000228405,3083.963899873197,17576.071428571428
1782007284,10,,Aggregated,5.800000,0.000000,99,230,310,390,1100,1500,2600,3100,3100,3100,3100,79,0,99,322.91602025904893,21.2848000228405,3083.963899873197,17869.164556962027
1782007285,10,,Aggregated,6.400000,0.000000,98,210,290,330,730,1300,2600,3100,3100,3100,3100,87,0,98,302.83940459826385,21.2848000228405,3083.963899873197,16778.045977011494
1782007286,10,,Aggregated,7.100000,0.000000,99,220,310,330,710,1300,2600,3100,3100,3100,3100,97,0,99,295.01215464041866,21.2848000228405,3083.963899873197,17102.886597938144
1782007287,10,,Aggregated,7.600000,0.000000,99,230,310,340,710,1300,2600,3100,3100,3100,3100,99,0,99,296.0997222231306,21.2848000228405,3083.963899873197,18203.949494949495
1782007288,10,,Aggregated,8.000000,0.000000,120,250,330,460,1000,1300,1800,2600,3100,3100,3100,109,0,120.0,317.37121468230464,21.2848000228405,3083.963899873197,22112.697247706423
1782007289,10,,Aggregated,8.200000,0.000000,120,230,320,400,740,1300,1800,2600,3100,3100,3100,120,0,120.0,304.98150583783473,21.2848000228405,3083.963899873197,22183.375
1782007290,10,,Aggregated,7.800000,0.000000,120,230,330,380,730,1100,1800,2600,3100,3100,3100,127,0,120.0,299.86268740814677,21.2848000228405,3083.963899873197,21297.228346456694
1782007291,10,,Aggregated,7.700000,0.000000,120,230,310,380,710,1100,1800,2600,3100,3100,3100,135,0,120.0,289.81745704422116,21.2848000228405,3083.963899873197,20666.25925925926
1782007292,10,,Aggregated,7.900000,0.000000,130,240,320,380,710,1100,1800,2600,3100,3100,3100,143,0,130.0,294.1481265828821,21.2848000228405,3083.963899873197,21578.356643356645
1782007293,10,,Aggregated,8.000000,0.000000,130,230,310,380,710,1100,1800,2600,3100,3100,3100,149,0,130.0,289.12285235772947,21.2848000228405,3083.963899873197,21133.161073825504
1782007294,10,,Aggregated,7.700000,0.000000,140,230,310,380,710,1100,1500,2600,3100,3100,3100,157,0,140.0,287.0814490523545,21.2848000228405,3083.963899873197,21288.541401273884
1782007295,10,,Aggregated,7.700000,0.000000,130,220,310,380,710,1100,1500,2600,3100,3100,3100,169,0,130.0,275.50682367773493,21.2848000228405,3083.963899873197,21037.479289940828
1782007296,10,,Aggregated,7.600000,0.000000,130,230,310,370,700,1100,1500,2600,3100,3100,3100,176,0,130.0,272.2490670540455,21.2848000228405,3083.963899873197,20451.857954545456
1782007297,10,,Aggregated,7.700000,0.000000,130,230,310,360,680,1000,1500,2600,3100,3100,3100,184,0,130.0,265.39959348788807,21.2848000228405,3083.963899873197,20051.309782608696
1782007298,10,,Aggregated,8.000000,0.000000,120,210,290,340,650,1000,1500,2600,3100,3100,3100,194,0,120.0,256.5703242381113,21.2848000228405,3083.963899873197,19473.74742268041
1782007299,10,,Aggregated,7.800000,0.000000,110,210,280,330,650,1000,1500,2600,3100,3100,3100,200,0,110.0,250.29233351117,21.2848000228405,3083.963899873197,19225.06
1782007300,10,,Aggregated,8.400000,0.000000,100,200,270,330,590,1000,1300,1800,3100,3100,3100,210,0,100.0,244.751465725269,21.2848000228405,3083.963899873197,19684.595238095237
1782007301,10,,Aggregated,8.500000,0.000000,100,200,260,310,590,1000,1300,1800,3100,3100,3100,218,0,99,240.19452156990323,21.2848000228405,3083.963899873197,19381.798165137614
1782007302,10,,Aggregated,8.000000,0.000000,110,210,280,330,590,810,1300,1800,3100,3100,3100,227,0,110.0,243.8208630076704,21.2848000228405,3083.963899873197,19113.47577092511
1782007303,10,,Aggregated,8.200000,0.000000,110,210,290,330,590,1000,1300,1800,3100,3100,3100,236,0,110.0,245.75700594499014,21.2848000228405,3083.963899873197,20230.60593220339
